class,kind,abstract,NOA,NOM,CIS,DAM,WMC,RFC,CBO,DCC,MPC,DAC,MOA,LCOM,CAM,DIT,NOC,ANA,MFA,NOP,NOP_strict
org.jfree.chart.block.BlockParams,class,0,3,6,6,1.0,7,6,1,0,0,0,0,9,0.25,1,0,0,0.0,0,0
org.jfree.chart.block.BlockResult,class,0,1,2,2,1.0,3,2,2,1,0,1,1,1,0.5,1,0,0,0.0,0,0
org.jfree.chart.block.BorderArrangement,class,0,6,9,4,1.0,70,32,6,4,25,5,5,0,0.3175,1,0,0,0.0,0,0
org.jfree.chart.block.CenterArrangement,class,0,1,12,4,1.0,31,35,5,3,21,0,0,66,0.4833,1,0,0,0.0,0,0
org.jfree.chart.block.ColorBlock,class,0,2,7,5,0.5,12,26,3,1,0,0,0,1,0.2381,2,0,1,0.8205,4,4
org.jfree.chart.block.ColumnArrangement,class,0,5,9,4,1.0,42,35,5,3,18,0,0,30,0.4444,1,0,0,0.0,0,0
org.jfree.chart.block.EmptyBlock,class,0,1,4,4,1.0,5,15,3,1,1,0,0,6,0.4375,2,0,1,0.8947,2,2
org.jfree.chart.block.EntityBlockParams,interface,0,0,1,1,,1,1,0,0,0,0,0,0,,1,0,0,0.0,0,0
org.jfree.chart.block.EntityBlockResult,interface,0,0,1,1,,1,1,1,0,0,0,0,0,,1,0,0,0.0,0,0
org.jfree.chart.block.FlowArrangement,class,0,5,12,4,1.0,46,41,5,3,24,0,0,60,0.4833,1,0,0,0.0,0,0
org.jfree.chart.block.GridArrangement,class,0,3,13,4,1.0,51,43,5,3,41,0,0,58,0.4923,1,0,0,0.0,0,0
org.jfree.chart.block.LabelBlock,class,0,10,19,17,0.8,39,45,7,1,3,0,0,79,0.0766,2,0,1,0.62,5,5
org.jfree.chart.block.LengthConstraintType,class,0,5,4,3,0.4,11,7,0,0,0,0,0,0,0.25,1,0,0,0.0,0,0
org.jfree.chart.block.LineBorder,class,0,4,7,5,0.75,23,29,1,0,0,0,0,0,0.1429,1,0,0,0.0,0,0
org.jfree.chart.block.RectangleConstraint,class,0,7,14,14,0.8571,37,17,2,2,2,4,4,0,0.119,1,0,0,0.0,0,0
org.jfree.chart.demo.BarChartDemo1,class,0,1,3,1,1.0,4,25,10,1,32,0,0,3,0.3333,1,0,0,0.0,0,0
org.jfree.chart.demo.PieChartDemo1,class,0,1,4,2,1.0,5,17,6,1,11,0,0,6,0.25,1,0,0,0.0,0,0
org.jfree.chart.demo.TimeSeriesChartDemo1,class,0,1,4,2,1.0,6,30,11,1,56,0,0,6,0.25,1,0,0,0.0,0,0
org.jfree.chart.editor.ChartEditor,interface,0,0,1,1,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.editor.ChartEditorFactory,interface,0,0,1,1,,1,1,2,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.editor.ChartEditorManager,class,0,1,3,3,0.0,5,4,3,2,1,1,1,1,0.3333,1,0,0,0.0,0,0
org.jfree.chart.editor.DefaultAxisEditor,class,0,15,16,14,1.0,27,58,2,1,18,0,0,114,0.0938,1,1,0,0.0,0,0
org.jfree.chart.editor.DefaultChartEditor,class,0,5,7,6,1.0,10,34,6,3,7,2,2,15,0.1429,1,0,0,0.0,0,0
